Mark_info;Model_info;Year;Region;Vin_resolution;Mileage;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
BMW;X5;2010;Москва;True;177762;1;ALLROAD_5_DOORS;True;97948F;True;5;J;620;1249000
BMW;3 серия;2016;Нижний Новгород;True;24000;2;SEDAN;True;EE1D19;True;4;D;480;1730000
BMW;5 серия;2015;Иркутск;True;68000;2;SEDAN;True;040001;True;4;E;520;1450000
BMW;3 серия;2018;Ростов-на-Дону;True;17996;1;SEDAN;True;0000CC;False;4;D;480;1530000
BMW;2 серия;2020;Москва;NaN;0;NaN;SEDAN;True;22A0F8;True;4;C;430;2251240
BMW;X6 M;2016;Новоивановское;True;137000;1;ALLROAD_5_DOORS;True;0000CC;False;5;J;550;3050000
BMW;X5;2019;Москва;True;20000;1;ALLROAD_5_DOORS;True;040001;False;5;J;645;5295000
BMW;X5;2016;Химки;True;38579;1;ALLROAD_5_DOORS;True;040001;False;5;J;650;3199000
BMW;X5;2014;Химки;True;110769;2;ALLROAD_5_DOORS;True;040001;False;5;J;650;2222222
BMW;X1;2018;Москва;True;34000;2;ALLROAD_5_DOORS;True;040001;False;5;J;505;1769000
BMW;X5;2020;Москва;NaN;0;NaN;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;645;5700000
BMW;X6;2009;Ростов-на-Дону;True;105145;3;ALLROAD_5_DOORS;False;040001;False;5;J;724;1085000
BMW;X3;2017;Москва;True;25815;1;ALLROAD_5_DOORS;True;200204;True;5;J;550;2489900
BMW;5 серия;2014;Москва;True;92645;1;SEDAN;True;040001;True;4;E;520;1220000
BMW;X5;2007;Санкт-Петербург;True;283500;2;ALLROAD_5_DOORS;True;CACECB;True;5;J;620;769000
BMW;X5;2017;Санкт-Петербург;True;82961;1;ALLROAD_5_DOORS;True;040001;True;5;J;650;2999000
BMW;X3;2020;Москва;NaN;0;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;550;3956600
BMW;5 серия;2016;Санкт-Петербург;True;56189;2;SEDAN;False;FAFBFB;True;4;E;520;1449000
BMW;5 серия;2018;Краснодар;NaN;26000;1;SEDAN;True;040001;False;4;E;530;2620000
BMW;X3;2014;Москва;True;148860;1;ALLROAD_5_DOORS;True;97948F;False;5;J;550;1499000
